;Rating;User_ID;Item_ID
0;2.0;A30B7FVQ0FF2PX;B0000865II
1;5.0;A1QX27DAWAIZZ4;B0000865II
2;4.0;A6VBPDTTV4NUA;B0000865II
3;2.0;A30B7FVQ0FF2PX;B0000865JR
4;5.0;A1QX27DAWAIZZ4;B0000865JR
5;4.0;A6VBPDTTV4NUA;B0000865JR
6;5.0;AUF92T0V3B1YU;B0000865II
7;5.0;AUF92T0V3B1YU;B0000865JR
8;5.0;AZZXCFBNEWIBQ;B0000865II
9;2.0;AQTG0XKZ7YYIP;B0000865II
10;5.0;AZZXCFBNEWIBQ;B0000865JR
11;2.0;AQTG0XKZ7YYIP;B0000865JR
12;5.0;A2OS7CFQI4DWPT;B0000865JR
13;5.0;A2OS7CFQI4DWPT;B0000865II
14;4.0;A1S5OQUVLF7HK;B0000865JR
15;4.0;A1S5OQUVLF7HK;B0000865II
16;2.0;AHDNB9P5B6MN;B0000891IO
17;2.0;APPDV4TXOOSA5;B0000891KM
18;5.0;A1Q6W0LQLDVIZB;B0000891IO
19;4.0;A1FHLZ9WYOBGH4;B0000891JE
20;2.0;A1YAP371XWJC6L;B0000891KM
21;4.0;A1FHLZ9WYOBGH4;B0000891IO
22;5.0;AOSWPBQKHTH9Q;B0000891KM
23;4.0;A1FHLZ9WYOBGH4;B0000891KM
24;5.0;A3EMZGH2H5GK8F;B00008IPAC
25;5.0;A1YAP371XWJC6L;B00008IQ74
26;4.0;A1FHLZ9WYOBGH4;B00008IQ74
27;4.0;A28R1FX3HLF6GK;B00008I8YM
28;4.0;A1WX42M589VAMQ;B00008I8YM
29;1.0;A3GOTT6W6NT8RA;B00008I8YM
30;5.0;A2UO040HWOP0C2;B00008I8YM
31;4.0;A39MU947PNXRW6;B0000AH05M
32;5.0;A22I18GCY7RWXF;B0000ANHTD
33;5.0;AT2V0KQ9YX9O2;B0000ANHT7
34;5.0;A146WK47R8XJG2;B0000ANHTD
35;5.0;A1EGG1Q8049NJS;B0000ANHT7
36;5.0;A2PQAJDYMZSBXW;B0000ANHT7
37;4.0;A10B0A2OZLULBF;B0000ANHT7
38;5.0;A2T9EMIFA72AM6;B0000ANHT7
39;4.0;A2J4FGN4MHHXLI;B0000ANHT7
40;5.0;A2PVHJ9IWN1N6N;B0000ANHTD
41;5.0;A2YZ16LIEKW140;B0000ANHT7
42;5.0;A1QS1B2IW9SWHC;B0000ANHT7
43;5.0;A1DCKDK0Q9WBFF;B0000ANHT7
44;4.0;A20H029MKU5W5J;B0000ANHTD
45;5.0;A1HJZIB6A8F44K;B0000ANHTD
46;5.0;AENH50GW3OKDA;B0000ANHT7
47;5.0;ABOJ4UP9E5ZO;B0000ANHT7
48;5.0;A1SA3N793WT2LM;B0000ANHT7
49;5.0;AHSQ2GX1OJQLP;B0000ANHT7
50;5.0;A1ENUQEIMTFJG3;B0000ANHTD
51;5.0;A39W0BUKSMVZ09;B0000ANHT7
52;5.0;ARHDK9ZCOOPFS;B0000ANHTD
53;4.0;A2VTMI1I187HC5;B0000ANHT7
54;5.0;A1B9QFN9YFZD90;B0000ANHT7
55;5.0;A25JYAEULVDPC;B0000ANHT7
56;5.0;A46Z5RK0HXQZ4;B0000ANHTD
57;3.0;ANUQG4DWEXRA2;B0000ANHT7
58;5.0;A1F3T0OJHZHYL;B0000ANHTD
59;2.0;A2T83XXA4GNC4W;B0000ANHTD
60;5.0;A1H2WJSALF3E9U;B0000ANHTD
61;3.0;A2QPHSV9VNC1GC;B0000ANHTD
62;5.0;AJNPYL7PKMHCU;B0000ANHTD
63;5.0;A1OKU3XC8YF5P6;B0000ANHTD
64;5.0;A1OKU3XC8YF5P6;B0000ANHTD
65;4.0;A1F5E3W51WNXJF;B0000ANHTD
66;3.0;A1F5E3W51WNXJF;B0000ANHTD
67;5.0;A2LKTRHGKW1T29;B0000ANHTD
68;5.0;A1XQ0F01CF84Y3;B0000ANHTD
69;4.0;A2SX7X8QGQVCJU;B0000ANHTD
70;4.0;A3CYRFIHPO8J5C;B0000CBALZ
71;3.0;A2TQE8NBQ6DZ9Q;B0000CBALZ
72;5.0;A9C7I8FFLPG47;B0000CBALZ
73;4.0;A2BI17R30EEPX7;B0000CBALZ
74;4.0;A20H029MKU5W5J;B0000CBAMK
75;4.0;A1F5E3W51WNXJF;B0000CBAMK
76;4.0;A3FEAPR9HUW4DJ;B0000CBALZ
77;5.0;A1XN2ORFU4W0SY;B0000CBALZ
78;5.0;A2A50KX89YENZ;B0000CBALZ
79;5.0;ABSV4LC32VJVL;B0000CBALZ
80;3.0;AQ1WOABLPA3KF;B0000CBALZ
81;3.0;A32GULX74TF8IT;B0000CBALZ
82;4.0;A36RB7ABVG2PFJ;B0000CBALZ
83;3.0;A249G4SVEWV9UX;B0000CBALZ
84;4.0;A2GTBOGOEIT9V9;B0000CBALZ
85;4.0;A1HW58ZPHSG39U;B0000CBALZ
86;5.0;A1KB7Q3MKVS0RJ;B0000CBALZ
87;4.0;A3NRRBCW93V84Y;B0000CBALZ
88;4.0;A13PTX4UHN29TM;B0000CBALZ
89;5.0;A1OIR7ER9X11ZJ;B0000CBALZ
90;5.0;A4QYQQLNOM7JP;B0000CBALZ
91;5.0;A8CZOOH92SXFL;B0000CBALZ
92;5.0;ABSV4LC32VJVL;B0000CBALZ
93;5.0;AEC90GPFKLAAW;B0000CBALZ
94;4.0;AZ97F7V58V634;B0000CBALZ
95;2.0;A1KRAELFCKGURZ;B0000CBALZ
96;5.0;A3H7087YTQO9PO;B0000CBALZ
97;5.0;A1FMM7OXJNV7M7;B0000CBALZ
98;5.0;AMA9P621OHNC6;B0000CBALZ
99;4.0;A1GP1I1HFNVLAH;B0000CBALZ
100;4.0;A2VCZHZXP0IMTO;B0000CBALZ
101;5.0;AFHYEO3Y1IIDD;B0000CBALZ
102;5.0;A17AK1Z8KN613L;B0000CBALZ
103;3.0;A1VQC0MWX3V260;B0000TW41Y
104;5.0;A1TQ36QKQT2N93;B0000TW41Y
105;5.0;A21LAYA3NM6VO9;B0000TW41Y
106;4.0;A1FA5CPOTADLV1;B0000TW41Y
107;5.0;A39W0BUKSMVZ09;B0000TW41Y
108;5.0;AT2V0KQ9YX9O2;B0000WL3CW
109;3.0;A3OS63ZWKSA33Y;B0000WL1Q0
110;5.0;A21LAYA3NM6VO9;B0000WL3CW
111;5.0;A3QNV9LUNM589P;B0000WL1Q0
112;5.0;A2VVJ1OOO5EVK5;B0000WL1Q0
113;5.0;A1B9QFN9YFZD90;B0000WL3CW
114;5.0;A1RR8MILLMBI8N;B0000WL3CW
115;4.0;AULBF5I0N9YNJ;B0000WL3CW
116;4.0;A3EIWVCXORX79B;B0000Y5T7A
117;5.0;A3S3938MAI78TH;B0000Y5T7U
118;4.0;A3OSYT09OPUDLR;B0000YEC9G
119;3.0;A29381YVBY63P5;B0000ZFIXE
120;5.0;AZ8NQPFR743F0;B0000ZFRM6
121;4.0;A1FHLZ9WYOBGH4;B0000ZFRM6
122;1.0;AUUMO4APOU2RD;B0000ZFHOE
123;5.0;ARHDK9ZCOOPFS;B0000ZFHOE
124;4.0;A1FHLZ9WYOBGH4;B0000ZFHOE
125;5.0;A1YAP371XWJC6L;B0000ZFSFW
126;4.0;A1FHLZ9WYOBGH4;B0000ZFSFW
127;3.0;A37U4HM0UG7FQ0;B000163G8G
128;5.0;A3EV58S4ZC65ST;B000163G8G
129;3.0;A3ARBU2VH7F3L6;B000163G8G
130;4.0;ABLUW533DJ03T;B000163G8G
131;1.0;AVQ8S31YL1N7X;B000163G8G
132;3.0;A1MB1KL11LPUY5;B000163G8G
133;5.0;AHL98CA2CJHQF;B000163G8G
134;3.0;A5PJU9MLC1QYP;B000163G8G
135;3.0;A1PM023IYH9YXZ;B000163G8G
136;5.0;A2GJX2KCUSR0EI;B000163G8G
137;5.0;A147LR6DC67N9E;B000163G8G
138;5.0;AOSWPBQKHTH9Q;B000163G8G
139;3.0;AYG4J7SHLKYZK;B000163G8G
140;1.0;AYOMAHLWRQHUG;B000163G8G
141;3.0;A3432MKHZF71GX;B000163G8G
142;5.0;A1ZPRKUJTQ4K2;B000163G8G
143;5.0;A1ZPRKUJTQ4K2;B000163G8G
144;4.0;A3OSYT09OPUDLR;B000163G8G
145;2.0;A1QS1B2IW9SWHC;B000163G8G
146;5.0;ADX7A8S6F45JV;B000163G8G
147;5.0;A260QLS8Z33KCQ;B000163G8G
148;4.0;AUBKXJYRKGOF4;B000163G8G
149;5.0;ADS99W8WMEXZ2;B000163G8G
150;5.0;AK7CAW3N1XZV6;B000163G8G
151;5.0;A1SX9PHJWTDMF9;B0001YRY8Q
152;5.0;A2YSEFNW5TBLZZ;B0001YRY8Q
153;5.0;A1VL90C0FWJYOW;B0001YRYIG
154;4.0;A2UQC570CYUNP7;B0001YSBOC
155;5.0;A2BABMIJ37TYCT;B0001YSBUG
156;5.0;A22I18GCY7RWXF;B0001YSBUG
157;5.0;A3S5NOCF1892AM;B0001YSBUG
158;5.0;A1OKU3XC8YF5P6;B0001YSBUG
159;5.0;A2T9EMIFA72AM6;B0001YSBUG
160;5.0;A1ENUQEIMTFJG3;B0001YSBUG
161;5.0;ALL0SEBTPPU9B;B0001YSBOC
162;3.0;A2BDMG6VC2Y7O;B0001YSBUG
163;5.0;A1XQ0F01CF84Y3;B0001YSBUG
164;5.0;A22I18GCY7RWXF;B0001YSBUG
165;5.0;A1B9QFN9YFZD90;B0001YSBOC
166;5.0;A2L348I41CC81K;B0001YSBOC
167;4.0;A16UVYX457F0W3;B0001YSBOC
168;5.0;A1H2WJSALF3E9U;B0001YSBOC
169;1.0;A2AX8N8NMWUAA7;B0001YSBOC
170;5.0;A1DCKDK0Q9WBFF;B0001YSBOC
171;4.0;A15UHDGZDU7XKR;B0001YSBOC
172;5.0;A3UATFF143J29B;B0001YSBOC
173;5.0;AENH50GW3OKDA;B0001YSBOC
174;4.0;A2MNN626ACNT0K;B0001YSBOC
175;5.0;A2VZRMKKMC7RV4;B0001YSBOC
176;5.0;A1SA3N793WT2LM;B0001YSBOC
177;5.0;A1S85DACD0HTDY;B0001YSBOC
178;4.0;APVDDS1R0Z1EP;B0001YSBOC
179;3.0;ANUQG4DWEXRA2;B0001YSBOC
180;5.0;A2T9EMIFA72AM6;B0001YSBOC
181;4.0;A39W0BUKSMVZ09;B0001YSBOC
182;5.0;A52Y39SZ0HMRX;B00021NY28
183;3.0;A46Z5RK0HXQZ4;B00026395U
184;5.0;A26MK90ZBECE40;B00028B4XW
185;5.0;A2QJAZ43HK74KF;B00028B4XW
186;3.0;A3TBPHXRNQG5JM;B00028B4XW
187;4.0;A2ZZ1RVAGF3H2T;B00028B4XW
188;4.0;AM54IIJJVLW0C;B00028B4XW
189;2.0;ABSV4LC32VJVL;B00028B4XW
190;5.0;A32F743KHHBFQN;B00028B4XW
