;Item_ID;Item_title;Pred_EI
0;B0000865JR;berkshire women's plus-size queen silky sheer control top pantyhose 4489;5
1;B0000865II;berkshire women's plus-size queen silky sheer control top pantyhose 4489;5
2;B0000891JE;hanes women's non control top sandalfoot silk reflections panty hose;5
3;B0000891IO;hanes women's control top sheer toe silk reflections panty hose;5
4;B0000891KM;hanes women's control top reinforced toe silk reflections panty hose;5
5;B00008I8YM;bali women's skimp skamp brief panty number 2633;5
6;B00008IPAC;berkshire women's trend fishnet thigh high pantyhose 1535;5
7;B00008IQ74;hanes womenâ€™s alive full support control top pantyhose;5
8;B0000950ME;l'eggs women's silken mist control top sheer toe panty hose;5
9;B0000AH05M;nike men's classic embroidered swoosh t-shirt;4
10;B0000ANHT7;carhartt men's 'k87' workwear pocket short-sleeve t-shirt;5
11;B0000ANHTD;carhartt men's big & tall workwear pocket short-sleeve t-shirt original fit k87;4
12;B0000CBALZ;wrangler men's rugged wear carpenter jean;4
13;B0000CBAMK;wrangler men's rugged wear carpenter jean;4
14;B0000TW41Y;carhartt men's double front duck utility work dungaree pant b01;4
15;B0000WL1Q0;carhartt men's big & tall arctic quilt lined yukon active jacket j133;5
16;B0000WL3CW;carhartt men's quilted flannel lined duck active jacket;4
17;B0000Y5T7A;leg avenue women's sheer thigh high stockings with back seam and  lace top;5
18;B0000Y5T7U;sheer lace top stockings with back seam;5
19;B0000YEC9G;leg avenue women's fishnet suspender pantyhose;4
20;B0000ZFRM6;hanes silk reflections women's panty hose;5
21;B0000ZFIXE;berkshire women's plus-size maternity light support pantyhose 5700;5
22;B0000ZFSFW;hanes womenâ€™s alive full support control top pantyhose;5
23;B0000ZFHOE;berkshire women's romantic lace top thigh high pantyhose 1363;5
24;B0000ZFIZC;berkshire women's plus-size maternity light support pantyhose 5700;5
25;B000163G8G;maidenform women's one fab fit t-shirt bra;5
26;B0001YRXGE;dickies men's rigid duck blanket lined jacket big-tall;4
27;B0001YRYIG;dickies men's big & tall snap front nylon jacket;5
28;B0001YSBOC;carhartt men's workwear midweight jersey pocket long-sleeve t-shirt k126;4
29;B0001YRY8Q;dickies men's big-tall unlined eisenhower jacket;4
30;B0001YSBUG;carhartt men's tall pocket long-sleeve workwear t-shirt k126;4
31;B00021NY28;gloria vanderbilt women's amanda classic tapered jean;5
32;B00026395U;dickies men's short sleeve pocket t-shirts two-pack;4
33;B00028B5C2;dickies men's loose-fit cargo work pant stain & wrinkle resistant cotton/poly;4
34;B00028B4XW;dickies men's loose-fit cargo work pant stain & wrinkle resistant cotton/poly;4
35;B00028B61M;dickies men's loose-fit cargo work pant stain & wrinkle resistant cotton/poly;4
36;B000297L38;bravado men's metallica-master of puppets t-shirt;4
37;B0002A6SUE;dockers men's relaxed fit comfort khaki pleated pants d4;5
38;B0002AHYW0;dockers menâ€™s classic fit iron-free khaki pant d3;4
39;B0002LIG3A;hanes womenâ€™s alive full support control top pantyhose;5
40;B0002M0GBE;gloria vanderbilt women's amanda classic tapered jean;5
41;B0002M34U4;dockers men's easy khaki d3 classic-fit flat-front pant;4
42;B0002MGS9S;kenneth cole reaction men's vertical texture modern-fit flat-front pant;4
43;B0002MKYSY;lee women's plus size easy fit frenchie capri jean;5
44;B0002MM4JG;wrangler authentics men's short-sleeve classic woven shirt;4
45;B0002MNQMU;lee men's regular fit straight leg jean;4
46;B0002NYQO6;hanes men's ecosmart fleece sweatshirt;5
47;B0002NYPC4;hanes women's absolutely ultra sheer control top with reinforced toe plus-size;5
48;B0002THZL6;hue super opaque tights with control top;5
49;B0002TOSWK;gold toe men's 3-pack windsor wool dress sock;5
50;B0002TOTEM;gold toe men's windsor wool-blend over-the-calf dress sock (three-pack);5
51;B0002TORZS;gold toe men's 3-pack metropolitan over-the-calf dress socks;5
52;B0002U0YRM;wrangler men's retro two pocket long sleeve snap shirt;4
53;B0002XSXWW;columbia men's bonehead short-sleeve work shirt;4
54;B0002ZROS4;dickies men's big-tall long-sleeve work shirt;4
55;B00062NHE8;calvin klein men's 3-pack classic crew neck t-shirt;4
56;B00062NPDQ;columbia men's steens mountain full zip fleece jacket;4
57;B00067SHT8;adidas girls' long sleeve girly tee shirt;4
58;B0006AAW0W;izod men's big and tall button down long sleeve stretch performance stripe shirt;4
59;B0006MFKP2;warner's women's no pinching no problems lace hipster panty;5
60;B0006SCZUE;wrangler men's cowboy cut western two pocket long sleeve snap workshirt;4
61;B0006SFF42;wrangler men's authentic cowboy cut work western short sleeve shirt;4
62;B0006TVYR8;carhartt men's workwear pocket long-sleeve henley shirt;4
63;B0006U3ES4;hanes men's 3-pack a-shirt;4
64;B0006UD754;shadowline women's plus-size silhouette 54 inch long sleeve coat;5
65;B0006UH8RC;berkshire women's plus-size queen ultra sheer control top pantyhose 4411;5
66;B0006UGBPW;izod men's short sleeve performance t-shirt;4
67;B0006UZD6A;sag harbor women's cable-knit cowl-neck cashmerlon sweater;5
68;B0006UZD6K;sag harbor women's crew-neck cashmerlon sweater;5
69;B0006Z8AYM;sandra darren women's paisley-print sheath dress;4
70;B0006Z8AYC;sandra darren women's paisley-print sheath dress;4
71;B00075ZYTK;russell athletic menâ€™s essential cotton t-shirt;5
72;B00075ZYVS;russell athletic menâ€™s essential cotton t-shirt;5
73;B000783QR4;russell athletic men's big & tall basic short sleeve solid crew neck t-shirt;4
74;B000783NUY;russell athletic men's big & tall basic crew neck sweatshirt;4
75;B000783NRW;russell athletic men's big & tall basic crew neck sweatshirt;4
76;B00078W1Q6;jerzees men's spot shield short sleeve polo sport shirt;5
