;Item_ID;Item_title;co2e_kg;sustainability_score
0;B0002V310I;HUE Women's Quarter Top with Cushion 6 Pack;6.75;0.621717
1;B0007OW81I;Russell Athletic Men's Big and Tall Cotton Jersey Pant with Pockets;103.0;0.13803
2;B0007OW84K;Russell Athletic Men's Big & Tall Dri-Power Peformance Tee;16.7;0.467881
3;B0007YYB90;Playtex Women's Secrets Rosebud Embroidery Underwire Bra;3.4;0.727162
4;B00084WDLC;Port & Company Mock Turtleneck - PC61M;16.3;0.472139
5;B0008G23PQ;LEE Men's Stain-Resistant Relaxed-Fit Pleated Pant;23.8;0.405057
6;B000A822PS;Wrangler Rugged Wear Men's Woodland Thermal Jean;40.1;0.31096
7;B000ARGWZA;Skechers Sport Women's Premium-Premix Slip-On Sneaker;12.5;0.518337
8;B000ARJGC6;Skechers Sport Men's Energy Downforce Lace-Up Sneaker;7.6;0.602332
9;B000ARJM84;Skechers Sport Women's Energy Sneaker;13.0;0.511563
10;B000ARKMQA;Skechers Sport Women's Premium Sneaker;9.1;0.572384
11;B000AS5GH4;Tamarac by Slippers International Men's Cody Sheepskin Slipper;13.9;0.499958
12;B000AS5GLK;Tamarac by Slippers International Men's Highlander Shearling Slipper;21.8;0.420719
13;B000AS7F9G;Tamarac by Slippers International Men's Scuffy Clog Slipper;14.0;0.498712
14;B000BO5F9Q;Propet Womens Stability Walker Walking Walking Sneakers Athletic Shoes - Black;10.5;0.548204
15;B000BRF9PS;SOREL - Men's Caribou Waterproof Boot for Winter;19.7;0.438717
16;B000BVZYYA;Propet Mens LifeWalker Strap Walking Walking Sneakers Athletic Shoes - Black;13.95;0.499334
17;B000BW5656;Propet Men's M3851 Wash & Wear Slip-On Sneaker;16.3;0.472139
18;B000CESL4G;Wrangler Men's Rugged Wear Big & Tall Relaxed-Fit Short;26.5;0.385807
19;B000CQE22E;Propet Women's W0089 Pedic Walker Sandal;8.7;0.579911
20;B000DZXYTQ;Sanuk Men's Beer Cozy;3.2;0.735827
21;B000E0T4E4;Exquisite Form 5100532 FULLY Original Wireless Full-Coverage Bra with Back Closure;2.7;0.759437
22;B000EDTVYY;KEEN Women's Venice H2 Sandal;5.15;0.66479
23;B000ENTCU2;Skechers USA Men's Fray Cotton Thong;3.6;0.718882
24;B000EUFE0W;Fila Men's Original Fitness Lea Classic Sneaker;9.6;0.563384
25;B000EY5ORQ;Rockport Men's Margin Oxford;14.2;0.496245
26;B000EYHHMG;Wrangler Men's Genuine Carpenter-Fit Jean;55.18;0.25274
27;B000FVAUXQ;Deer Stags Men's Tribune S.U.P.R.O. Sock Leather Wingtip Dress Casual Comfort Oxford;14.9;0.487858
28;B000G250SO;Sperry Colton Penny Loafer (Toddler/Little Kid/Big Kid);8.4;0.585763
29;B000GAYQKY;Casio Men's G-Shock Quartz Watch with Resin Strap, Black, 20 (Model: DW5600E-1V);2.26;0.78302
30;B000GC7GVS;Deer Stags Mak2 Thinsulate Waterproof Comfort Workboot (Toddler/Little Kid/Big Kid);7.2;0.611203
31;B000GCAY5S;Deer Stags Brian Slip-On Dress Comfort Shoe (Toddler/Little Kid/Big Kid);6.75;0.621717
32;B000GHLFVA;Rockport Men's Evander Moc-Toe Oxford;16.5;0.469998
33;B000H100IE;Skechers Women's Fortress Clog Slipper;7.2;0.611203
34;B000H2YFUW;Eastland Womens Syracuse Slip-On Loafer, Brown Leather, 6;13.44;0.505799
35;B000HDNWFK;Birkenstock Men's Boston SFB Sandals;10.6;0.546592
36;B000HGM3K2;Giorgio Brutini Men's Pointed-Toe Dress Boot;21.0;0.427372
37;B000KK0P3W;Soffe Men's Classic Cotton T-Shirt;12.9;0.512898
38;B000LUY0XC;Champion Women's Shaped T-Back Sport Bra;6.4;0.630325
39;B000LXNQGQ;Converse Women's X Keith Haring Run Star Hike High Top Sneakers;18.6;0.448888
40;B000M25WV8;Deer Stags Unisex Nordic Tweed Slipper;7.8;0.598049
41;B000M5CRC2;Nike Mens Free Rn 2018 Running Shoe;8.6;0.581842
42;B000N2TAEW;Warner's Women's Daisy Lace Wire-Free Bra with Plushline;4.66;0.680255
43;B000N8S1WS;Dickies Men's Relaxed-Fit Carpenter Jean;26.6;0.385131
44;B000N8TKNC;Dickies Men's Regular-Fit Five-Pocket Prewashed Jean;38.8;0.316947
45;B000N8TKPK;Dickies Men's 9 1/2 Inch Inseam Relaxed Fit Carpenter Short;30.6;0.359921
46;B000N8X86W;Dickies Men's Regular-Fit 5-Pocket Jean;27.7;0.377851
47;B000NBOCPA;Rockport Men's Toloni Boot;14.6;0.491406
48;B000O3U0PI;adidas Performance Mundial Team Turf Soccer Cleat;8.6;0.581842
49;B000OUUD6W;Saucony Originals Women's Jazz Sneaker;5.3;0.660301
50;B000OWX362;Daniel Green Women's Glamour Slipper;10.3;0.551472
