model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
itemknn,none,none,none,5,1,0.0135,0.0072,0.0089,0.0142,4.2382,0.0357,0.1786,0.1754,0.303,0.3606,-0.0984,0.0317,0.0359,-0.0041
itemknn,A,global_0.0,0.0,5,1,0.0135,0.0072,0.0089,0.0142,4.2382,0.0357,0.1786,0.1754,0.303,0.3606,-0.0984,0.0317,0.0359,-0.0041
itemknn,A,global_0.2,0.2,5,1,0.0134,0.0072,0.0089,0.0142,3.809,0.2603,1.3017,0.6798,0.4848,0.3473,0.5256,0.0634,0.2675,-0.2041
itemknn,A,global_0.4,0.4,5,1,0.0117,0.0065,0.008,0.0116,3.6398,0.3162,1.5808,0.8766,0.6061,0.304,0.5837,0.2248,0.3195,-0.0947
itemknn,A,global_0.6,0.6,5,1,0.0086,0.0052,0.0063,0.008,3.3888,0.4201,2.1007,0.9268,0.5,0.1962,0.6447,0.4979,0.4173,0.0806
itemknn,A,global_0.8,0.8,5,1,0.0034,0.0022,0.0026,0.0029,2.6821,0.6997,3.4985,1.0,0.3939,0.0698,0.8396,0.88,0.6931,0.1869
itemknn,A,global_1.0,1.0,5,1,0.0003,0.0001,0.0001,0.0002,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
itemknn,A,behavioral,p,5,1,0.0135,0.0072,0.0089,0.0142,4.2329,0.0372,0.1861,0.1786,0.3712,0.3614,-0.0954,0.0745,0.0359,0.0386
itemknn,A,semantic,p,5,1,0.0085,0.0052,0.0062,0.0084,3.3883,0.4227,2.1136,0.9131,0.5,0.2121,0.6477,0.5421,0.4184,0.1237
itemknn,A,hybrid_5,p,5,1,0.0129,0.0072,0.0088,0.0138,3.7701,0.2728,1.364,0.7287,0.4924,0.3359,0.5358,0.1407,0.2776,-0.1369
itemknn,A,hybrid_10,p,5,1,0.0124,0.007,0.0086,0.0129,3.6976,0.2976,1.4881,0.8,0.5379,0.3141,0.5544,0.1972,0.3013,-0.104
itemknn,A,hybrid_20,p,5,1,0.0116,0.0067,0.0081,0.0119,3.6188,0.3269,1.6343,0.8547,0.5303,0.2921,0.5843,0.2676,0.329,-0.0614
itemknn,B,global_0.0,0.0,5,1,0.014,0.0075,0.0093,0.0149,4.1072,0.0086,0.0428,0.0397,0.3106,0.3509,0.0042,0.0303,0.0078,0.0226
itemknn,B,global_0.2,0.2,5,1,0.014,0.0075,0.0093,0.0148,3.8116,0.2595,1.2973,0.6798,0.4167,0.3414,0.3508,0.0593,0.2668,-0.2075
itemknn,B,global_0.4,0.4,5,1,0.0124,0.007,0.0086,0.0126,3.663,0.3061,1.5307,0.8766,0.4318,0.3066,0.4046,0.1931,0.3103,-0.1172
itemknn,B,global_0.6,0.6,5,1,0.0118,0.0065,0.008,0.0107,3.562,0.3448,1.7238,0.9268,0.5606,0.2752,0.4666,0.3048,0.3462,-0.0414
itemknn,B,global_0.8,0.8,5,1,0.0097,0.0055,0.0067,0.0083,2.9656,0.5687,2.8436,1.0,0.5303,0.202,0.4539,0.5434,0.5696,-0.0262
itemknn,B,global_1.0,1.0,5,1,0.0009,0.0004,0.0005,0.0007,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
itemknn,B,behavioral,p,5,1,0.014,0.0075,0.0093,0.0148,4.103,0.0098,0.0491,0.0431,0.3333,0.3506,0.0058,0.0662,0.0078,0.0584
itemknn,B,semantic,p,5,1,0.0121,0.0068,0.0083,0.0114,3.5511,0.3505,1.7526,0.9131,0.5,0.2701,0.453,0.3324,0.3512,-0.0188
itemknn,B,hybrid_5,p,5,1,0.0134,0.0073,0.0091,0.0143,3.7761,0.2706,1.353,0.7287,0.4091,0.3307,0.3605,0.1255,0.2759,-0.1504
itemknn,B,hybrid_10,p,5,1,0.0131,0.0073,0.0089,0.0138,3.7205,0.2881,1.4404,0.8,0.4242,0.3158,0.3799,0.1572,0.2929,-0.1356
itemknn,B,hybrid_20,p,5,1,0.0129,0.0072,0.0088,0.013,3.667,0.3065,1.5324,0.8547,0.4621,0.3057,0.4072,0.2097,0.31,-0.1004
itemknn,none,none,none,5,2,0.0238,0.0125,0.0154,0.0227,4.3649,0.0169,0.0847,0.082,0.3485,0.3573,-0.0225,0.0288,0.0165,0.0123
itemknn,A,global_0.0,0.0,5,2,0.0238,0.0125,0.0154,0.0227,4.3649,0.0169,0.0847,0.082,0.3485,0.3573,-0.0225,0.0288,0.0165,0.0123
itemknn,A,global_0.2,0.2,5,2,0.0233,0.0122,0.0151,0.0223,3.9903,0.1719,0.8596,0.4611,0.5152,0.3455,0.3959,0.068,0.1759,-0.108
