model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
knn,none,none,none,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.0,0.0,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.2,0.2,5,1,0.013,0.0088,0.0101,0.0135,7.3533,0.6071,3.0356,0.9788,0.7593,0.5,-0.0453,0.5988,0.6141,-0.0153
knn,A,global_0.4,0.4,5,1,0.0072,0.005,0.0057,0.0079,2.7665,0.8582,4.2908,0.9992,0.674,0.3532,0.1021,0.8547,0.861,-0.0063
knn,A,global_0.6,0.6,5,1,0.0029,0.0022,0.0024,0.0031,0.6205,0.9861,4.9304,1.0,0.434,0.1616,0.2043,0.9856,0.9865,-0.0008
knn,A,global_0.8,0.8,5,1,0.0017,0.0013,0.0014,0.0017,0.1021,1.0,5.0,1.0,0.1534,0.0507,-0.0314,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,1,0.0103,0.007,0.008,0.0109,4.9097,0.7446,3.7232,0.9868,0.725,0.4428,0.0403,0.8708,0.64,0.2309
knn,A,semantic,p,5,1,0.004,0.0029,0.0032,0.0039,1.0793,0.9564,4.782,0.9994,0.4882,0.2183,0.1444,0.9509,0.961,-0.0101
knn,A,hybrid_5,p,5,1,0.0077,0.0053,0.006,0.0083,3.1873,0.8368,4.1842,0.9972,0.6784,0.3725,0.0971,0.9138,0.773,0.1408
knn,A,hybrid_10,p,5,1,0.0067,0.0047,0.0053,0.0072,2.4073,0.8821,4.4104,0.9988,0.6369,0.328,0.1212,0.9278,0.8441,0.0837
knn,A,hybrid_20,p,5,1,0.006,0.0042,0.0047,0.006,1.8332,0.916,4.5802,0.9992,0.5919,0.2866,0.1516,0.9384,0.8975,0.0409
knn,B,global_0.0,0.0,5,1,0.017,0.0115,0.0133,0.0182,15.6006,0.2484,1.242,0.768,0.4444,0.462,-0.0793,0.25,0.2471,0.003
knn,B,global_0.2,0.2,5,1,0.015,0.0101,0.0117,0.0153,9.6863,0.5056,2.528,0.9788,0.7597,0.5313,-0.0619,0.5039,0.507,-0.0031
