model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,none,none,none,5,1,0.1014,0.0719,0.083,0.1321,4.2988,0.0,0.0002,0.0002,0.0076,0.0324,-0.1127,0.0,0.0001,-0.0001
mf,A,global_0.0,0.0,5,1,0.1014,0.0719,0.083,0.1321,4.2988,0.0,0.0002,0.0002,0.0076,0.0324,-0.1127,0.0,0.0001,-0.0001
mf,A,global_0.2,0.2,5,1,0.0469,0.0362,0.0401,0.0564,2.507,0.6995,3.4973,0.8034,0.3182,0.0235,0.4171,0.2745,0.715,-0.4405
mf,A,global_0.4,0.4,5,1,0.0356,0.0268,0.03,0.0449,2.385,0.7507,3.7535,0.8229,0.3182,0.0217,0.4356,0.2828,0.7678,-0.4851
mf,A,global_0.6,0.6,5,1,0.0217,0.0167,0.0185,0.0291,2.2742,0.7916,3.9582,0.9073,0.3182,0.0205,0.455,0.3269,0.8086,-0.4817
mf,A,global_0.8,0.8,5,1,0.0133,0.0099,0.011,0.0145,2.144,0.8387,4.1937,1.0,0.3182,0.0178,0.6573,0.469,0.8523,-0.3833
mf,A,global_1.0,1.0,5,1,0.0003,0.0001,0.0001,0.0002,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
mf,A,behavioral,p,5,1,0.1014,0.0719,0.083,0.1322,4.2752,0.0089,0.0443,0.0114,0.2727,0.0373,-0.1012,0.2497,0.0001,0.2496
mf,A,semantic,p,5,1,0.0307,0.0227,0.0256,0.0365,2.2942,0.783,3.9148,0.8912,0.3182,0.0216,0.471,0.349,0.7988,-0.4499
mf,A,hybrid_5,p,5,1,0.0939,0.0661,0.0765,0.1018,2.6742,0.6355,3.1774,0.7871,0.3182,0.0254,0.3352,0.28,0.6485,-0.3685
